offer_id,price_segment,price_rub,pred_rub,residual_rub
321303120,comfort,68000,66443.19582752418,1556.8041724758223
299980330,premium,130000,117616.02544718224,12383.97455281776
330526444,econom,60000,61805.52898694261,-1805.5289869426124
328580903,business,250000,229093.56779105176,20906.432208948245
317832748,econom,55000,69392.92240691677,-14392.922406916769
241933894,premium,52000,55775.27488924445,-3775.2748892444506
330889588,econom,50000,55686.96003117785,-5686.960031177849
329788325,econom,65000,53011.22042143582,11988.77957856418
318384482,comfort,48000,51722.512525227896,-3722.512525227896
330145898,econom,45000,57220.092309356056,-12220.092309356056
329434734,econom,50000,43244.2929802741,6755.707019725902
330805408,premium,55000,51497.72027037298,3502.279729627022
330038018,premium,59000,70392.75122936288,-11392.751229362882
330747738,comfort,199000,273969.60861985764,-74969.60861985764
264310323,econom,65000,80306.5937275894,-15306.593727589396
325789221,comfort,110000,112137.84928662064,-2137.849286620636
330818058,premium,150000,129531.71203612396,20468.287963876035
330283737,comfort,110000,138915.9682850927,-28915.968285092706
328322528,comfort,130600,150687.30199673958,-20087.30199673958
330835126,business,85000,100374.24148675003,-15374.241486750034
320234140,econom,65000,82128.5739946364,-17128.573994636405
329982160,business,110000,112805.41303517368,-2805.413035173682
330505698,business,68000,68884.00448561429,-884.0044856142922
330943473,econom,70000,88080.6092297423,-18080.609229742302
330851198,premium,250000,334412.66731692257,-84412.66731692257
319021392,comfort,58000,56393.67467098443,1606.3253290155699
321954585,business,70000,69074.23541340654,925.764586593461
330079851,econom,63000,74586.86139919193,-11586.861399191926
327617444,business,95000,66655.53674295924,28344.463257040756
305567561,premium,60000,45586.70059663367,14413.299403366327
169129271,econom,45000,58333.31941441566,-13333.319414415659
330014205,business,65000,71515.50683896428,-6515.506838964284
279078310,premium,90000,81622.70023811013,8377.299761889866
330389801,business,180000,184451.08973712104,-4451.089737121045
330838820,business,48000,61345.53214313277,-13345.532143132768
328344028,business,60000,50060.43346950023,9939.566530499767
330683060,comfort,90000,85321.70354844263,4678.296451557369
329959275,econom,60000,62813.08511573258,-2813.0851157325815
330665040,premium,130000,110093.23643976476,19906.76356023524
328145829,business,48000,51322.83886440497,-3322.83886440497
330660388,business,72000,81281.02240111104,-9281.02240111104
319034323,comfort,90000,119935.60380772303,-29935.603807723033
315459315,premium,125000,111473.2979208575,13526.702079142502
297807822,econom,50000,58891.96498997673,-8891.964989976732
330318108,comfort,60000,49641.46989813761,10358.530101862387
330448233,business,69000,53695.68122217062,15304.31877782938
205624408,econom,49000,47862.41984572607,1137.5801542739282
329757855,comfort,40000,37115.00443463239,2884.995565367608
330173493,premium,55000,49829.41966954766,5170.580330452343
